품목명,세부종류명,품목코드,품종코드,구분(도소매),세부단위_등급,가격_2022(평균),가격_2023(평균),가격_2024(평균)
감귤,전체,415,전체,중도매인 판매가격,중도매인 판매가격 > 과일류 > 감귤 > 전체 > 상품 > 3kg,"15,107","20,587","22,751"
감귤,전체,415,전체,소매가격,소매가격 > 과일류 > 감귤 > 전체 > 상품 > 10개,"3,429","6,695","6,313"
단감,전체,416,전체,중도매인 판매가격,중도매인 판매가격 > 과일류 > 단감 > 전체 > 상품 > 10kg,"37,834","41,413","47,433"
단감,전체,416,전체,소매가격,소매가격 > 과일류 > 단감 > 전체 > 상품 > 10개,"13,451","14,129","17,211"
단감,단감,416,00,중도매인 판매가격,중도매인 판매가격 > 과일류 > 단감 > 단감 > 상품 > 10kg,"37,834","41,413","47,433"
단감,단감,416,00,소매가격,소매가격 > 과일류 > 단감 > 단감 > 상품 > 10개,"13,451","14,129","17,211"
바나나,전체,418,전체,중도매인 판매가격,중도매인 판매가격 > 과일류 > 바나나 > 전체 > 상품 > 13kg,"29,641","32,668","29,742"
바나나,전체,418,전체,소매가격,소매가격 > 과일류 > 바나나 > 전체 > 상품 > 100g,323,323,298
바나나,바나나,418,02,중도매인 판매가격,중도매인 판매가격 > 과일류 > 바나나 > 수입 > 상품 > 13kg,"29,641","32,668","29,742"
바나나,바나나,418,02,소매가격,소매가격 > 과일류 > 바나나 > 수입 > 상품 > 100g,323,323,298
참다래,전체,419,전체,중도매인 판매가격,중도매인 판매가격 > 과일류 > 참다래 > 전체 > 상품 > 10kg,"44,187","48,873","56,302"
참다래,전체,419,전체,소매가격,소매가격 > 과일류 > 참다래 > 전체 > 상품 > 10개,"8,753","9,244","9,759"
참다래,참다래,419,01,중도매인 판매가격,중도매인 판매가격 > 과일류 > 참다래 > 국산 > 상품 > 10kg,"45,572","39,952",
참다래,참다래,419,01,소매가격,소매가격 > 과일류 > 참다래 > 국산 > 상품 > 10개,"8,871","9,019","10,212"
참다래,참다래,419,02,중도매인 판매가격,중도매인 판매가격 > 과일류 > 참다래 > 그린 뉴질랜드 > 상품 > 10kg,"43,257","54,492","56,302"
참다래,참다래,419,02,소매가격,소매가격 > 과일류 > 참다래 > 그린 뉴질랜드 > 상품 > 10개,"8,697","9,382","9,523"
파인애플,전체,420,전체,중도매인 판매가격,중도매인 판매가격 > 과일류 > 파인애플 > 전체 > 상품 > 12kg,"30,575","35,606","33,266"
파인애플,전체,420,전체,소매가격,소매가격 > 과일류 > 파인애플 > 전체 > 상품 > 1개,"6,542","7,427","7,236"
파인애플,파인애플,420,02,중도매인 판매가격,중도매인 판매가격 > 과일류 > 파인애플 > 수입 > 상품 > 12kg,"30,575","35,606","33,266"
파인애플,파인애플,420,02,소매가격,소매가격 > 과일류 > 파인애플 > 수입 > 상품 > 1개,"6,542","7,427","7,236"
오렌지,전체,421,전체,중도매인 판매가격,중도매인 판매가격 > 과일류 > 오렌지 > 전체 > 상품 > 18kg,"68,682","71,579","66,991"
오렌지,전체,421,전체,소매가격,소매가격 > 과일류 > 오렌지 > 전체 > 상품 > 10개,"14,778","15,731","16,161"
오렌지,오렌지,421,03,중도매인 판매가격,중도매인 판매가격 > 과일류 > 오렌지 > 네이블 미국 > 상품 > 18kg,"74,846","74,753","74,482"
오렌지,오렌지,421,03,소매가격,소매가격 > 과일류 > 오렌지 > 네이블 미국 > 상품 > 10개,"14,778","15,731","16,460"
오렌지,오렌지,421,04,중도매인 판매가격,중도매인 판매가격 > 과일류 > 오렌지 > 발렌시아 미국 > 상품 > 18kg,"54,850","66,955","64,886"
오렌지,오렌지,421,06,중도매인 판매가격,중도매인 판매가격 > 과일류 > 오렌지 > 네이블 호주 > 상품 > 18kg,"68,199","68,038","58,343"
오렌지,오렌지,421,06,소매가격,소매가격 > 과일류 > 오렌지 > 네이블 호주 > 상품 > 10개,,,"15,111"
레몬,전체,424,전체,중도매인 판매가격,중도매인 판매가격 > 과일류 > 레몬 > 전체 > 상품 > 17kg,"65,227","71,052","75,633"
레몬,전체,424,전체,소매가격,소매가격 > 과일류 > 레몬 > 전체 > 상품 > 10개,"9,854","9,934","10,979"
