date,감,감귤,거봉,골드키위,귤,네이블오렌지,대추,두리안,딸기,라임,라즈베리,레드향,레몬,리치,망고,매실,멜론,모과,무화과,바나나,배,백도,복숭아,블랙베리,블루베리,사과,살구,샤인머스캣,석류,수박,아보카도,애플망고,앵두,오렌지,용과,유자,자두,자몽,적포도,참외,천도복숭아,천혜향,청귤,청포도,체리,카라향,캠벨포도,코코넛,크랜베리,키위,파인애플,패션후르츠,포도,한라봉,황도
2023-11-01,16.89925,43.76761,2.24443,8.47358,68.34183,0.7677,51.84326,41.61184,56.86432,6.66769,4.34703,6.23493,13.20189,25.58182,40.43068,1.00685,86.54297,48.22338,33.64966,20.51317,18.97895,2.75887,9.45255,6.9389,13.14728,75.16431,0.71356,2.44903,2.98326,9.62178,26.89546,13.6066,0.70787,8.54827,37.0247,76.58812,8.47395,14.00895,0.23065,3.6797,2.24377,8.67518,12.96741,1.50733,11.03371,1.90577,1.34654,12.87412,4.11678,13.81471,24.73394,9.12829,10.02847,6.22481,7.22395
2023-12-01,9.61947,39.74229,1.56124,6.19014,70.59689,0.48992,36.60561,30.92312,67.1046,6.39755,4.67799,19.62825,13.68654,26.53919,48.52977,0.93699,76.67743,26.79709,14.09868,20.38482,16.53234,3.3342,8.16937,7.56689,12.65284,63.5693,0.74356,1.5448,3.16332,8.94353,25.88189,15.40705,0.69629,8.15743,36.15142,64.68431,7.74652,13.24211,0.19116,4.0439,2.3058,13.78213,9.86961,1.28117,13.30647,1.97678,0.57583,11.19237,3.91316,11.86378,25.04313,10.67436,8.69862,15.31783,11.94793
2024-01-01,8.07167,49.25505,1.54082,7.44933,100.0,0.72814,35.10184,33.0218,56.48945,6.25709,5.13521,72.51807,12.34972,28.6186,56.11369,1.01378,81.09619,17.05244,13.22006,24.20916,20.99273,3.09418,10.59174,6.81994,17.57204,85.89221,0.8379,1.44025,2.85076,10.5113,31.99873,23.32178,1.07035,11.70303,41.47608,30.17259,10.11154,12.01895,0.18735,5.86205,2.78044,40.80436,7.93679,1.23225,20.5592,3.01597,0.9854,12.50448,4.39191,12.97589,31.93654,11.27973,7.90237,39.94302,10.0889
2024-02-01,8.03963,31.78327,1.89962,7.19205,40.95328,0.86299,27.16783,33.35727,37.91488,5.36745,4.9513,69.56278,12.58284,26.86853,64.09551,1.20171,74.24514,12.32035,12.91958,23.08491,23.17722,3.62546,9.97666,7.40743,18.01393,72.38693,0.78399,1.43531,2.25043,10.1254,28.49251,32.46928,0.73891,17.59134,40.53535,17.87583,9.98378,11.06985,0.20417,19.21654,3.66231,64.71165,7.38693,1.32941,19.91165,3.88166,0.77478,12.13222,4.06058,12.02931,28.30064,10.89221,8.27063,34.92719,8.9751
2024-03-01,6.60931,12.98268,2.18783,8.74104,21.30572,5.60764,25.72793,33.68661,37.98992,6.39508,5.14579,14.40958,20.60486,26.18094,100.0,1.94888,72.93617,12.71053,14.92196,32.77849,18.12002,3.53017,12.86104,6.97028,25.64322,99.09092,1.01539,0.96637,1.95799,13.2364,34.26567,27.5586,0.86951,34.11108,40.09652,17.84806,11.94019,14.47877,0.28181,31.95963,4.85612,36.88917,8.87265,2.10753,16.71609,13.86629,1.03382,13.58185,5.51361,13.62491,38.47434,11.2655,9.53799,18.61031,9.02275
2024-04-01,5.78418,7.22031,1.80044,10.69925,12.32467,7.3507,21.39574,44.40249,29.88291,6.55483,4.96553,3.67453,16.47819,25.88138,93.54033,2.48895,82.30882,12.30647,13.64627,30.38354,15.19895,3.99762,16.15363,9.99127,31.49692,81.3358,1.44488,0.91791,1.67856,23.7413,32.37639,22.84454,1.1291,25.72312,53.38758,15.28207,12.13678,11.85728,0.34441,63.55614,5.17794,14.25331,8.0562,2.54349,15.16322,91.50582,1.126,13.22448,4.16567,17.4918,39.13127,11.80847,11.30532,7.05071,9.39941
2024-05-01,5.64455,7.74795,1.85937,12.1497,10.22902,1.05266,20.51819,54.87575,22.1152,7.62442,6.1551,1.76487,21.0996,33.04895,76.60354,8.6996,86.84489,11.56361,15.33021,29.21202,15.72498,4.82735,35.7826,11.25163,41.7491,57.48886,2.56602,0.95964,1.69271,44.38655,33.28802,23.45013,3.13902,17.27307,50.41824,14.19625,23.60428,10.38942,0.36213,56.15939,11.66746,5.47721,9.44472,2.51836,34.99672,66.62921,1.1931,12.90915,4.75243,19.06555,35.98325,13.18377,12.70677,3.90708,15.18414
2024-06-01,6.21731,6.78154,2.92645,8.0333,7.88734,0.43509,19.11162,44.06176,16.58071,6.33517,7.75481,0.94065,19.18435,33.41245,58.86745,20.41058,70.87177,10.48889,15.41855,23.23543,14.89628,9.72483,66.16668,9.00751,100.0,42.6036,7.15154,1.03234,1.75734,59.6609,32.85988,25.20273,4.65955,12.56438,38.06353,13.64639,48.63652,9.26482,0.27238,45.41904,67.8275,1.94881,12.48003,2.5058,49.34977,19.07929,2.27418,11.85894,4.76885,17.66704,29.41392,12.71779,13.19765,2.26574,15.36304
2024-07-01,5.99501,8.05759,5.45384,6.73236,10.75036,0.68949,20.42794,36.83814,13.5629,6.64167,5.21585,0.79012,22.0938,29.851,49.78821,3.56841,68.5828,10.61941,26.94449,20.68412,15.21354,12.27245,98.84537,10.97467,53.75206,43.77943,2.65742,1.74921,1.57824,49.12079,31.04924,24.40694,1.19089,9.67962,33.10326,21.0861,45.18492,9.98744,0.22616,39.8753,51.57091,1.42836,22.38298,2.32158,27.59204,5.09614,6.03785,13.08872,4.47036,13.17492,29.49188,13.02905,15.99659,1.78478,16.96856
2024-08-01,6.10893,11.88852,12.12471,8.44591,13.67192,1.16324,24.34774,36.93186,12.80925,6.82722,4.86007,1.05338,24.47709,28.57918,41.15354,1.66015,66.16532,12.69664,100.0,22.2582,18.59946,10.75862,83.0865,8.27735,26.30697,58.38122,1.2224,3.86707,2.11717,41.12404,32.98512,29.71843,0.89333,9.68401,37.66061,15.35844,30.57355,12.16307,0.26049,14.76824,42.57063,1.76352,77.67255,2.51814,16.54086,2.59436,15.12409,12.94156,4.38899,14.61469,28.53276,13.58735,30.41454,2.03488,19.53416
2024-09-01,10.5688,17.22045,10.73441,10.96963,19.93671,0.86029,49.96042,32.25012,14.00819,5.63176,4.29266,1.73989,17.71314,23.50416,49.64761,1.30716,76.10129,16.40817,91.53806,19.79965,33.34281,4.76802,27.7572,7.97995,19.85119,77.28869,0.85034,7.42495,2.79495,13.57606,29.12599,40.99193,0.69344,8.92359,36.74792,16.5859,18.14959,10.00533,0.30245,6.88815,15.07178,3.45447,56.69337,2.89284,10.59828,1.54169,13.6031,10.21223,4.04307,15.6035,22.41102,10.6127,31.18112,2.69067,11.3753
2024-10-01,18.49333,45.07282,4.85758,9.08084,45.30042,0.66612,85.09143,26.04605,20.98917,5.92098,4.39301,1.97717,18.12599,24.31,39.18974,1.09854,82.67044,38.7481,59.62913,20.72846,20.40481,3.11575,13.25501,6.50723,16.87143,66.27946,0.95171,3.86168,2.85722,8.43671,29.88471,14.72503,0.66098,8.12097,28.00196,31.59166,13.78861,9.22161,0.25309,4.51053,3.8466,2.96238,28.13424,2.02945,10.55848,1.27291,5.24964,9.515,4.22077,14.14431,20.6084,8.27589,15.05122,2.53845,6.74121
2024-11-01,17.51552,48.2942,2.08048,8.5726,61.00549,0.40093,43.97034,24.70416,46.74531,4.62455,4.17626,4.949,17.22872,22.6519,31.16766,0.94459,77.34012,52.40561,28.15271,18.13047,17.4969,2.36783,8.74292,5.28847,16.97725,67.10176,0.82993,1.82168,2.81014,7.49349,27.58331,11.68422,0.61153,8.20164,28.70531,64.76624,8.48107,9.48657,0.19049,3.37383,1.93274,5.98517,10.71661,1.13846,9.9216,1.67114,1.56765,9.57194,4.38936,14.95497,19.27877,8.74515,8.98421,4.75087,5.1312
2024-12-01,9.61512,51.50724,1.43522,7.13186,76.68486,0.45756,30.51,23.0119,56.90166,4.44393,4.59516,21.95914,13.76395,22.18066,37.73293,0.81085,55.86754,27.07479,13.23268,16.72384,15.08087,2.0451,6.79601,6.3193,17.30493,82.02081,0.92959,1.11019,4.41325,8.31898,26.41295,14.67485,0.601,7.85872,32.20457,53.24983,7.6061,8.90266,0.14741,3.44745,2.02892,12.21268,7.57577,0.91117,11.59389,2.26265,0.69194,8.4972,4.87175,12.62153,17.77571,8.24195,7.25604,15.78597,5.69574
